Date,ID_Joueur,Temps_Jeu,Victoires,Achats_Objets,Satisfaction,Région,Serveur,Latitude,Longitude
2023-01-07,1943,100.9132886204421,1,0,71.3,OC,Stable,30.4323195885668,96.94726223476823
2023-01-20,1943,103.04818579346423,1,50,75.9,EU,Stable,5.541136980616059,-89.39519550134754
2023-01-29,1943,176.13223446924343,1,50,86.4,AS,Stable,-54.947640443396196,-37.501898611984984
2023-01-15,1943,94.47347732883304,0,0,94.6,AF,Stable,-66.10803766316968,-162.46985930883648
2023-01-11,1943,193.23665167415743,3,50,55.9,AF,Stable,-34.836280870839666,-134.22797409147108
2023-01-08,1943,133.11380339193155,1,0,,AF,Stable,79.67621643272287,53.820831241872526
2023-01-29,1943,122.76165411935976,2,0,66.0,AF,Stable,-52.18876662117649,-100.15230037293784
2023-01-21,1943,134.28721060162997,2,0,77.3,NA,Stable,-6.976160712904658,-30.391698991996293
2023-01-07,1943,195.89783247755855,0,0,55.0,AF,Stable,81.01924087108998,-31.575196242442928
2023-01-26,1943,90.19220988205656,0,0,85.8,AF,Stable,-53.63725517984009,96.3556993749537
2023-01-19,1943,86.38746243190832,0,0,77.8,,Stable,-45.976300615462904,24.12733032790203
2023-01-23,1943,,2,0,87.4,EU,Stable,-3.926630255400056,63.874766851139725
2023-01-11,1943,120.96429440893682,2,0,67.9,EU,Stable,-71.09277700900948,-136.1685758641945
2023-01-11,1943,68.22686625562281,1,0,70.1,OC,Stable,-75.57814212777377,38.42003010288727
2023-01-24,1943,120.67017717955824,0,500,90.4,AS,Hors-Ligne,-35.54845410025612,42.5688040665504
2023-01-21,1943,170.80641400241015,0,0,63.4,EU,Stable,-64.26900276163222,11.90858978576378
2023-01-04,1943,124.54222171874332,2,100,69.1,SA,Stable,-13.203063900028255,-143.57416910589075
2023-01-08,1943,111.21943623074169,3,0,50.7,AS,Stable,-70.48178861439793,97.68304579262286
2023-01-24,1943,101.45518653949118,0,0,77.8,AS,Stable,15.73662859201977,16.036756415170714
2023-01-03,1943,146.95535113654694,0,500,92.6,EU,Stable,-1.3260121669507043,15.16581595060947
2023-01-22,1943,95.22501680285858,1,100,51.4,NA,Stable,16.653249841668597,125.88761410628138
2023-01-21,1943,175.39187761797743,0,0,80.7,EU,Dégradé,72.15680226646623,-92.47030535271722
2023-01-02,1943,178.0007924314307,2,0,92.3,AS,Stable,-27.86147142924407,2.42538897345878
2023-01-24,1943,127.70252395985362,1,0,,SA,Stable,-41.68968137257869,86.46409220879957
2023-01-12,1943,119.65454735770065,1,100,65.7,AS,Dégradé,13.362980037352258,148.16991567763142
2023-01-30,1943,150.91979424724678,1,0,99.8,EU,Stable,-45.539282692223146,126.05451895067858
2023-01-06,1943,152.84395506681977,1,50,,AF,Stable,-78.02560027603776,98.28231208365116
2023-01-02,1943,95.82024806821754,0,50,60.5,OC,Stable,-79.42485551072069,134.55637690130624
2023-01-28,1943,104.20334600589894,2,0,94.3,NA,Dégradé,-78.07680578055842,-83.60521533008004
2023-01-21,1943,80.32957695950114,1,50,64.9,AS,Stable,-47.26202811334117,-19.481273803865975
2023-01-01,1822,132.2719481500217,1,50,91.0,SA,Hors-Ligne,41.36335274855105,172.75357556058106
2023-01-12,1822,139.9988365037067,1,0,66.7,SA,Stable,-62.28653487269521,-174.58243112291112
2023-01-26,1822,79.50223086416182,0,0,90.6,SA,Stable,-43.60162105478678,176.41662137812602
2023-01-22,1822,106.34403285551522,0,100,84.3,NA,Stable,64.76460305284655,-142.23457824195143
2023-01-29,1822,79.58238247255952,1,0,73.4,AF,Stable,-11.364799613667586,147.73982364769284
2023-01-12,1822,93.03600569268487,1,50,76.1,AS,Stable,-82.56283579244086,22.348293441212803
2023-01-25,1822,136.53051180678898,1,0,58.9,OC,Stable,-45.46694800417993,-73.36020098000019
2023-01-17,1822,97.99553799965162,2,0,55.8,EU,Dégradé,-35.80932725404524,162.04699778460906
2023-01-27,1822,110.97522131903104,1,500,85.8,AF,Stable,-56.676402286769466,37.29195071158421
2023-01-27,1822,71.18064816158054,1,0,92.4,AS,Stable,84.04805727005879,139.80549807083406
2023-01-10,1822,125.60970629173993,0,0,86.1,AS,Stable,-16.827580098941155,-42.21372916920822
2023-01-28,1822,118.67180040466053,2,50,95.6,OC,Stable,-18.790923805116293,55.5294341106748
2023-01-28,1822,98.13122249900513,1,50,94.5,NA,Stable,85.97736987407043,-53.1050009267029
2023-01-16,1822,114.32957106952577,0,0,88.9,EU,Dégradé,8.809415122966044,177.01742472262998
2023-01-15,1822,125.40884641510333,1,100,,EU,Dégradé,-75.14710320741705,18.732862846550347
2023-01-30,1822,95.55395553271967,1,0,58.4,EU,Stable,-10.17073548036808,73.96020172072483
2023-01-30,1822,75.71212367994661,2,50,86.6,AF,Stable,27.782126297942412,-69.64420423818494
2023-01-15,1822,174.16723298060447,3,0,87.7,AS,Stable,12.638731345498684,97.22664672090917
2023-01-30,1822,101.00181885869182,1,0,57.7,OC,Stable,62.13137354936842,-24.59570582463823
2023-01-19,1822,117.09719690439331,2,100,95.5,OC,Stable,83.31050529326686,144.5894217895929
2023-01-12,1822,150.32519205060942,0,50,50.4,NA,Stable,-79.42593662227141,16.647917185216613
2023-01-23,1822,,1,50,71.7,OC,Hors-Ligne,-44.049993365937354,-42.36019469666218
2023-01-20,1822,82.66540650333403,2,0,51.1,OC,Stable,71.94491137121514,116.77816120137209
2023-01-25,1822,133.49481641179528,1,200,76.2,EU,Stable,66.97826102705471,37.00518874238858
2023-01-03,1822,98.77343144117681,1,0,70.6,NA,Stable,-87.09989059280927,102.65261122846971
2023-01-05,1822,103.83629086269868,2,0,81.2,OC,Dégradé,13.97531022385121,72.4754345047242
2023-01-19,1822,98.3936393697963,0,200,88.3,OC,Stable,-32.48697511493273,-9.40041902752327
2023-01-07,1822,86.23035096598245,0,0,88.4,OC,Dégradé,5.498377652456341,56.586874773026096
2023-01-21,1822,118.76125914646016,1,0,86.1,OC,Stable,-50.40410359449058,92.88269379777745
2023-01-09,1822,75.76491938855293,2,500,55.1,EU,Stable,37.03461432168591,71.22054724713763
2023-01-07,1653,148.4042269953561,2,500,70.9,AS,Stable,-30.355444152475656,-64.0348931011888
2023-01-18,1653,121.65008808100124,1,50,90.8,AF,Stable,25.576459409188516,-37.82466186187375
2023-01-04,1653,132.6730491870432,2,0,82.7,NA,Stable,-76.44360142940229,162.5827057667438
2023-01-25,1653,106.01434164161331,2,0,84.1,AS,Stable,83.3204345706167,-68.45665732961005
2023-01-28,1653,108.98388197364756,0,0,61.3,AF,Dégradé,-44.39611481740265,112.44265109324084
2023-01-14,1653,128.62691715501984,2,0,66.3,EU,Stable,-16.617648296783827,-113.1447387777938
2023-01-18,1653,85.07848102782523,0,0,97.8,AS,Stable,-21.433363164017564,-38.89733345861194
2023-01-26,1653,109.26028696759992,0,0,92.3,AF,Stable,17.27373157445807,-58.2192234321644
2023-01-09,1653,94.21159458364637,1,0,58.2,OC,Stable,-70.90325155772894,41.645075786384325
2023-01-26,1653,93.28293568226957,1,0,77.2,NA,Stable,-29.916709877393053,154.21531040067157
2023-01-21,1653,56.704852781230755,1,50,74.5,OC,Stable,68.5263301946895,80.2321349964468
2023-01-02,1653,160.1797976844,0,0,72.2,NA,Dégradé,-18.40270055196754,-126.08043966878535
2023-01-20,1653,99.40383740538694,0,100,73.5,AS,Stable,-47.23103304174309,80.12269115148263
